NAME,DESCRIPTION,PRICE,OLD PRICE,CATEGORY NAME,SUBCATEGORY NAME,BRAND,IMAGE
"SolidWorks","3D CAD design software","399.00","499.00","Software","CAD","Dassault Systèmes","https://www.solidworks.com/favicon.ico"
"Microsoft Office 365","Subscription service for office software","69.99","99.99","Software","Office Productivity","Microsoft","https://officecdn.microsoft.com/pr/55336/images/content/images/favicon_mnstr.png"
"Google Workspace","Productivity and collaboration tools","6.00","12.00","Software","Office Productivity","Google","https://ssl.gstatic.com/docs/common/drive_favicon1.ico"
"Notion","All-in-one workspace for notes and projects","4.00","","Software","Office Productivity","Notion Labs","https://www.notion.so/front-static/favicon.ico"
"Slack","Messaging app for teams","6.67","8.00","Software","Communication","Slack Technologies","https://a.slack-edge.com/80588/marketing/img/icons/icon_slack_hash_colored.png"
"Zoom","Video conferencing and web conferencing service","14.99","19.99","Software","Communication","Zoom Video Communications","https://st3.zoom.us/static/6.0.2/images/favicon.ico"
"Trello","Visual collaboration tool for task management","5.00","10.00","Software","Project Management","Atlassian","https://trello.com/favicon.ico"
"Asana","Work management platform","10.99","13.49","Software","Project Management","Asana","https://luna1.co/b06d2e.png"
"Monday.com","Work operating system","10.00","12.00","Software","Project Management","monday.com","https://monday.com/favicon.ico"
"Jira","Project management and issue tracking software","7.00","10.00","Software","Project Management","Atlassian","https://www.atlassian.com/favicon.ico"
"Basecamp","Project management and team collaboration","99.00","","Software","Project Management","Basecamp","https://basecamp.com/assets/favicon/favicon-32x32.png"
"Todoist","Task manager and to-do list app","3.00","5.00","Software","Productivity","Doist","https://todoist.com/favicon.ico"
"Evernote","Note-taking app and organizer","7.99","9.99","Software","Productivity","Evernote","https://evernote.com/favicon.ico"
"Dropbox","Cloud storage and file synchronization service","9.99","11.99","Software","Cloud Storage","Dropbox","https://www.dropbox.com/favicon.ico"
"Google Drive","File storage and synchronization service","1.99","9.99","Software","Cloud Storage","Google","https://www.google.com/drive/static/images/drive/icon.png"
"OneDrive","File hosting and synchronization service","1.99","6.99","Software","Cloud Storage","Microsoft","https://onedrive.live.com/favicon.ico"
"iCloud","Cloud storage and cloud computing service","0.99","2.99","Software","Cloud Storage","Apple","https://www.icloud.com/favicon.ico"
"GitHub","Hosting for software development and version control","0.00","","Software","Development Tools","GitHub","https://github.githubassets.com/favicons/favicon.svg"
"Visual Studio Code","Source-code editor developed by Microsoft","0.00","","Software","Development Tools","Microsoft","https://code.visualstudio.com/favicon.ico"
"PyCharm","Integrated Development Environment (IDE) for Python","199.00","249.00","Software","Development Tools","JetBrains","https://www.jetbrains.com/pycharm/favicon.ico"
"WebStorm","JavaScript and TypeScript IDE","129.00","149.00","Software","Development Tools","JetBrains","https://www.jetbrains.com/webstorm/favicon.ico"
"Sublime Text","Sophisticated text editor for code, markup, and prose","80.00","","Software","Development Tools","Sublime HQ","https://www.sublimetext.com/favicon.ico"
"Postman","API development and testing tool","0.00","","Software","Development Tools","Postman","https://www.postman.com/favicon.ico"
"GitLab","DevOps lifecycle tool","0.00","","Software","Development Tools","GitLab","https://about.gitlab.com/ico/favicon.ico"
"Toggl","Time tracking tool","9.00","12.00","Software","Productivity","Toggl","https://toggl.com/favicon.ico"
"RescueTime","Time management software","6.50","9.00","Software","Productivity","RescueTime","https://www.rescuetime.com/favicon.ico"
"Clockify","Time tracking software","0.00","","Software","Productivity","Clockify","https://clockify.me/favicon.ico"
"Calendly","Scheduling automation tool","8.00","12.00","Software","Productivity","Calendly","https://calendly.com/favicon.ico"
"Adobe XD","UX/UI design and prototyping tool","9.99","19.99","Software","UI/UX Design","Adobe","https://www.adobe.com/content/dam/cc/icons/xd.svg"
